Date,Sample.ID,PAM.ID,Resp.ID,Plate.ID,Chamber.ID,SDR,TemperatureCat,Type,Salinity,Run,Spat.ID.PAM,Spat.ID.Resp,Spat.Resp.ID,Volume,Size.mm2,Polyp.Number,Notes,Notes2,,,
20230510,Plate4-SpatC4,ETR14,SpatC4,Plate4,C4,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR14,,SDR-710-C4,0.00008,2.096,5,,,,,
20230510,Plate4-SpatC5,ETR15,SpatC5,Plate4,C5,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR15,,SDR-710-C5,0.00008,3.518,6,,,,,
20230510,Plate4-SpatC6,ETR16,SpatC6,Plate4,C6,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR16,,SDR-710-C6,0.00008,1.996,5,,,,,
20230510,Plate4-SpatD1,ETR17,SpatD1,Plate4,D1,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR17,,SDR-710-D1,0.00008,1.494,3,,,,,
20230510,Plate4-SpatD2,ETR18,SpatD2,Plate4,D2,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR18,,SDR-710-D2,0.00008,2.905,6,,,,,
20230510,Plate4-SpatD3,ETR19,SpatD3,Plate4,D3,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR19,,SDR-710-D3,0.00008,1.367,2,,,,,
20230510,Plate4-SpatD4,ETR20,SpatD4,Plate4,D4,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR20,,SDR-710-D4,0.00008,1.387,1,,,,,
20230510,Plate4-SpatD5,ETR21,SpatD5,Plate4,D5,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR21,,SDR-710-D5,0.00008,2.09,4,,,,,
20230510,Plate4-SpatD6,ETR22,SpatD6,Plate4,D6,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR22,,SDR-710-D6,0.00008,1.934,5,,,,,
20230510,Plate5-SpatA1,ETR1,SpatA1,Plate5,A1,SDR-710,23,Coral,39,Plate5,20230510_Plate5_ETR1,,SDR-710-A1,0.00008,2.171,6,,,,,
20230510,Plate5-SpatA2,ETR2,SpatA2,Plate5,A2,SDR-710,23,Coral,39,Plate5,20230510_Plate5_ETR2,,SDR-710-A2,0.00008,1.374,4,,,,,
20230510,Plate5-SpatA3,ETR3,SpatA3,Plate5,A3,SDR-710,23,Coral,39,Plate5,20230510_Plate5_ETR3,,SDR-710-A3,0.00008,4.5355,7,,,,,
20230510,Plate5-SpatA4,ETR4,SpatA4,Plate5,A4,SDR-710,23,Coral,39,Plate5,20230510_Plate5_ETR4,,SDR-710-A4,0.00008,4.309,4,,,,,
20230510,Plate5-SpatA5,ETR5,SpatA5,Plate5,A5,SDR-710,23,Coral,39,Plate5,20230510_Plate5_ETR5,,SDR-710-A5,0.00008,6.7475,7,,,,,
20230510,Plate5-SpatA6,ETR6,SpatA6,Plate5,A6,SDR-710,23,Coral,39,Plate5,20230510_Plate5_ETR6,,SDR-710-A6,0.00008,2.186,6,,,,,
